number	link	level	title	classitication	solved	avg_attempt
16693	https://www.acmicpc.net/problem/16693	Bronze IV	Pizza Deal	수학	140	1.81
16785	https://www.acmicpc.net/problem/16785	Bronze IV	ソ?シャルゲ?ム	수학	253	1.76
17009	https://www.acmicpc.net/problem/17009	Bronze IV	Winning Score	수학	516	1.22
17362	https://www.acmicpc.net/problem/17362	Bronze IV	수학은 체육과목 입니다 2	수학	1438	1.48
17874	https://www.acmicpc.net/problem/17874	Bronze IV	Piece of Cake!	수학	143	1.09
18005	https://www.acmicpc.net/problem/18005	Bronze IV	Even or Odd?	수학	204	1.29
18330	https://www.acmicpc.net/problem/18330	Bronze IV	Petrol	수학	31	1.19
18411	https://www.acmicpc.net/problem/18411	Bronze IV	試?	수학	155	1.2
19602	https://www.acmicpc.net/problem/19602	Bronze IV	Dog Treats	수학	48	1.04
19698	https://www.acmicpc.net/problem/19698	Bronze IV	헛간 청약	수학	94	1.44
1009	https://www.acmicpc.net/problem/1009	Bronze III	분산처리	수학	6675	3.83
1085	https://www.acmicpc.net/problem/1085	Bronze III	직사각형에서 탈출	수학	13003	1.71
1247	https://www.acmicpc.net/problem/1247	Bronze III	부호	수학	414	2.73
1267	https://www.acmicpc.net/problem/1267	Bronze III	핸드폰 요금	수학	1877	2.58
1284	https://www.acmicpc.net/problem/1284	Bronze III	집 주소	수학	527	1.23
1864	https://www.acmicpc.net/problem/1864	Bronze III	문어 숫자	수학	405	1.36
1964	https://www.acmicpc.net/problem/1964	Bronze III	"오각형, 오각형, 오각형…"	수학	2293	2.14
1975	https://www.acmicpc.net/problem/1975	Bronze III	Number Game	수학	336	2.26
2010	https://www.acmicpc.net/problem/2010	Bronze III	플러그	수학	5005	1.66
2052	https://www.acmicpc.net/problem/2052	Bronze III	지수연산	수학	231	2.13
2163	https://www.acmicpc.net/problem/2163	Bronze III	초콜릿 자르기	수학	10222	1.4
2355	https://www.acmicpc.net/problem/2355	Bronze III	시그마	수학	2008	3.84
2455	https://www.acmicpc.net/problem/2455	Bronze III	지능형 기차	수학	9522	1.29
2460	https://www.acmicpc.net/problem/2460	Bronze III	지능형 기차 2	수학	3052	1.14
2476	https://www.acmicpc.net/problem/2476	Bronze III	주사위 게임	수학	2845	1.78
2501	https://www.acmicpc.net/problem/2501	Bronze III	약수 구하기	수학	3747	1.99
2506	https://www.acmicpc.net/problem/2506	Bronze III	점수계산	수학	3621	1.25
2547	https://www.acmicpc.net/problem/2547	Bronze III	사탕 선생 고창영	수학	352	2.6
2576	https://www.acmicpc.net/problem/2576	Bronze III	홀수	수학	5694	1.89
2720	https://www.acmicpc.net/problem/2720	Bronze III	세탁소 사장 동혁	수학	1415	1.2
2739	https://www.acmicpc.net/problem/2739	Bronze III	구구단	수학	54399	1.87
2747	https://www.acmicpc.net/problem/2747	Bronze III	피보나치 수	수학	13756	2.11
2754	https://www.acmicpc.net/problem/2754	Bronze III	학점계산	수학	2298	1.56
2765	https://www.acmicpc.net/problem/2765	Bronze III	자전거 속도	수학	169	1.62
2783	https://www.acmicpc.net/problem/2783	Bronze III	삼각 김밥	수학	1602	1.67
2863	https://www.acmicpc.net/problem/2863	Bronze III	이게 분수?	수학	1249	2.18
2875	https://www.acmicpc.net/problem/2875	Bronze III	대회 or 인턴	수학	5220	2.4
2884	https://www.acmicpc.net/problem/2884	Bronze III	알람 시계	수학	28116	2.54
2903	https://www.acmicpc.net/problem/2903	Bronze III	중앙 이동 알고리즘	수학	1929	1.65
2921	https://www.acmicpc.net/problem/2921	Bronze III	도미노	수학	1692	1.3
2935	https://www.acmicpc.net/problem/2935	Bronze III	소음	수학	2622	1.95
2953	https://www.acmicpc.net/problem/2953	Bronze III	나는 요리사다	수학	5470	1.56
2959	https://www.acmicpc.net/problem/2959	Bronze III	거북이	수학	1811	1.42
2965	https://www.acmicpc.net/problem/2965	Bronze III	캥거루 세마리	수학	3693	1.47
2975	https://www.acmicpc.net/problem/2975	Bronze III	Transactions	수학	428	1.82
2985	https://www.acmicpc.net/problem/2985	Bronze III	세 수	수학	1169	2.09
2991	https://www.acmicpc.net/problem/2991	Bronze III	사나운 개	수학	695	1.55
2997	https://www.acmicpc.net/problem/2997	Bronze III	네 번째 수	수학	1170	2.05
3029	https://www.acmicpc.net/problem/3029	Bronze III	경고	수학	787	2.5
3034	https://www.acmicpc.net/problem/3034	Bronze III	앵그리 창영	수학	2189	1.35
3049	https://www.acmicpc.net/problem/3049	Bronze III	다각형의 대각선	수학	1197	1.32
3053	https://www.acmicpc.net/problem/3053	Bronze III	택시 기하학	수학	7396	2.57
3058	https://www.acmicpc.net/problem/3058	Bronze III	짝수를 찾아라	수학	2021	1.38
3460	https://www.acmicpc.net/problem/3460	Bronze III	이진수	수학	2486	1.52
4084	https://www.acmicpc.net/problem/4084	Bronze III	Viva la Diferencia	수학	413	1.35
4101	https://www.acmicpc.net/problem/4101	Bronze III	크냐?	수학	3245	1.82
4153	https://www.acmicpc.net/problem/4153	Bronze III	직각삼각형	수학	7661	1.79
4388	https://www.acmicpc.net/problem/4388	Bronze III	받아올림	수학	459	2.24
4504	https://www.acmicpc.net/problem/4504	Bronze III	배수 찾기	수학	2360	1.87
4619	https://www.acmicpc.net/problem/4619	Bronze III	루트	수학	184	1.58
4623	https://www.acmicpc.net/problem/4623	Bronze III	Copier Reduction	수학	36	1.44
4706	https://www.acmicpc.net/problem/4706	Bronze III	쌍둥이 역설	수학	439	1.23
4766	https://www.acmicpc.net/problem/4766	Bronze III	일반 화학 실험	수학	948	1.31
4880	https://www.acmicpc.net/problem/4880	Bronze III	다음수	수학	1143	1.67
4892	https://www.acmicpc.net/problem/4892	Bronze III	숫자 맞추기 게임	수학	676	1.29
5063	https://www.acmicpc.net/problem/5063	Bronze III	TGN	수학	3762	1.4
5073	https://www.acmicpc.net/problem/5073	Bronze III	삼각형과 세 변	수학	1115	1.87
5086	https://www.acmicpc.net/problem/5086	Bronze III	배수와 약수	수학	4571	1.4
5361	https://www.acmicpc.net/problem/5361	Bronze III	전투 드로이드 가격	수학	1600	1.52
5565	https://www.acmicpc.net/problem/5565	Bronze III	영수증	수학	5626	1.13
5613	https://www.acmicpc.net/problem/5613	Bronze III	계산기 프로그램	수학	951	1.4
5618	https://www.acmicpc.net/problem/5618	Bronze III	공약수	수학	1513	1.6
5692	https://www.acmicpc.net/problem/5692	Bronze III	팩토리얼 진법	수학	562	2.11
5717	https://www.acmicpc.net/problem/5717	Bronze III	상근이의 친구들	수학	1951	1.2
6131	https://www.acmicpc.net/problem/6131	Bronze III	완전 제곱수	수학	718	1.37
6139	https://www.acmicpc.net/problem/6139	Bronze III	Speed Reading	수학	60	1.37
6322	https://www.acmicpc.net/problem/6322	Bronze III	직각 삼각형의 두 변	수학	508	2.67
6323	https://www.acmicpc.net/problem/6323	Bronze III	Carbon Dating	수학	14	1.29
6378	https://www.acmicpc.net/problem/6378	Bronze III	디지털 루트	수학	1347	2.44
6609	https://www.acmicpc.net/problem/6609	Bronze III	모기곱셈	수학	41	1.49
6975	https://www.acmicpc.net/problem/6975	Bronze III	"Deficient, Perfect, and Abundant"	수학	48	2.02
7510	https://www.acmicpc.net/problem/7510	Bronze III	고급 수학	수학	813	1.9
7523	https://www.acmicpc.net/problem/7523	Bronze III	Gauß	수학	410	1.78
8320	https://www.acmicpc.net/problem/8320	Bronze III	직사각형을 만드는 방법	수학	1611	1.7
8558	https://www.acmicpc.net/problem/8558	Bronze III	Silnia	수학	33	1.45
8714	https://www.acmicpc.net/problem/8714	Bronze III	Monety	수학	34	1.32
8932	https://www.acmicpc.net/problem/8932	Bronze III	7종 경기	수학	309	1.2
9085	https://www.acmicpc.net/problem/9085	Bronze III	더하기	수학	3325	1.3
9161	https://www.acmicpc.net/problem/9161	Bronze III	Sir Bedavere’s Bogus Division Solutions	수학	27	2.48
9325	https://www.acmicpc.net/problem/9325	Bronze III	얼마?	수학	2613	1.25
9366	https://www.acmicpc.net/problem/9366	Bronze III	삼각형 분류	수학	489	1.97
9437	https://www.acmicpc.net/problem/9437	Bronze III	사라진 페이지 찾기	수학	370	1.37
9493	https://www.acmicpc.net/problem/9493	Bronze III	"길면 기차, 기차는 빨라, 빠른 것은 비행기"	수학	130	2.62
9501	https://www.acmicpc.net/problem/9501	Bronze III	꿍의 우주여행	수학	611	1.21
9550	https://www.acmicpc.net/problem/9550	Bronze III	아이들은 사탕을 좋아해	수학	1430	1.21
9610	https://www.acmicpc.net/problem/9610	Bronze III	사분면	수학	1644	1.35
